WKT,ID,ELEV
"MULTILINESTRING ((9.03609241628365 50.9881944444444,9.03597222222222 50.9881561783236,9.03569444444445 50.9880184768006,9.03541666666667 50.988074513664,9.03513888888889 50.988074513664,9.03486111111111 50.9881667596394,9.03482714415571 50.9881944444444,9.03467411565963 50.9884722222222,9.03458333333333 50.9886229050842,9.0345216532739 50.98875,9.03450746509445 50.9890277777778,9.03458333333333 50.9891954818561,9.03463924236836 50.9893055555556,9.03476241510847 50.9895833333333,9.03482966236946 50.9898611111111,9.03486111111111 50.9899200176893,9.03501582736878 50.9901388888889,9.03513888888889 50.9902716889073,9.03527080967053 50.9904166666667,9.03541666666667 50.9904780264552,9.03569444444445 50.9904780264552,9.03597222222222 50.9906099619456,9.03615362778999 50.9906944444444,9.03625 50.990770063713,9.03652777777778 50.9909562091184,9.03680555555556 50.9909562091184,9.03684102102861 50.9909722222222,9.03708333333333 50.9910914650995,9.03736111111111 50.9911383034235,9.03763888888889 50.9910542763095,9.03788679716283 50.9909722222222,9.03791666666667 50.9909578211332,9.03819444444444 50.9909578211332,9.03847222222222 50.9907166555147,9.03848279847301 50.9906944444444,9.03860043960245 50.9904166666667,9.03857857282998 50.9901388888889,9.03852806808709 50.9898611111111,9.03847222222222 50.9895975904598,9.03846874194137 50.9895833333333,9.03829957500529 50.9893055555556,9.03819444444444 50.9891662689552,9.03807454663998 50.9890277777778,9.03791666666667 50.9888313970302,9.03763888888889 50.9888313970302,9.03756293064759 50.98875,9.03736111111111 50.988544910202,9.03727953328181 50.9884722222222,9.03708333333333 50.9883552733908,9.03680555555556 50.9882115047183,9.03652777777778 50.9882115047183,9.03625 50.988234923446,9.03609241628365 50.9881944444444))",269,580
"MULTILINESTRING ((9.03690504406756 50.9868055555556,9.03680555555556 50.9867396272855,9.03652777777778 50.9866085554555,9.03625 50.9866085554555,9.03597222222222 50.9867010762265,9.03584708811921 50.9868055555556,9.03569444444445 50.9869251180495,9.03545393418416 50.9870833333333,9.03541666666667 50.9871168906459,9.03513888888889 50.9871168906459,9.03486111111111 50.9872068206821,9.03469265478364 50.9873611111111,9.03458333333333 50.9874381642144,9.03440696294809 50.9876388888889,9.03430555555556 50.9878932787823,9.03429714922577 50.9879166666667,9.03402777777778 50.9881905348026,9.03375 50.9881905348026,9.03374644847501 50.9881944444444,9.03367462905885 50.9884722222222,9.03361233829091 50.98875,9.03363030439131 50.9890277777778,9.03367470796854 50.9893055555556,9.03368975200119 50.9895833333333,9.03374190828867 50.9898611111111,9.03375 50.9898914483991,9.0338323107866 50.9901388888889,9.03402777777778 50.9902425402118,9.03430555555556 50.9902425402118,9.03458333333333 50.9903632020526,9.03463366102656 50.9904166666667,9.03486111111111 50.9906032295234,9.03508734607668 50.9906944444444,9.03513888888889 50.9907295997779,9.03538842722498 50.9909722222222,9.03541666666667 50.9910027934366,9.03569444444445 50.9910027934366,9.03593470706239 50.99125,9.03597222222222 50.9912994324747,9.03621447720588 50.9915277777778,9.03625 50.9915411161609,9.03652777777778 50.9916011883189,9.03680555555556 50.9916109685755,9.03708333333333 50.9916451398588,9.03736111111111 50.9916618254201,9.03763888888889 50.9916587896232,9.03791666666667 50.9916174845219,9.03819444444444 50.9916174845219,9.03847222222222 50.9915775230654,9.03865947982163 50.9915277777778,9.03875 50.9914451393318,9.0388835753401 50.99125,9.0390181725424 50.9909722222222,9.03902777777778 50.9909531061815,9.03930555555556 50.9909531061815,9.03945141097548 50.9906944444444,9.03951646166242 50.9904166666667,9.03949644809385 50.9901388888889,9.03946874435082 50.9898611111111,9.0393920105521 50.9895833333333,9.03930555555556 50.9894816168374,9.03902777777778 50.9894816168374,9.03889503303436 50.9893055555556,9.03877547296315 50.9890277777778,9.03875 50.988955412937,9.03862825325325 50.98875,9.03849294903177 50.9884722222222,9.03847222222222 50.9884511745571,9.03819444444444 50.9882498719551,9.03813727321749 50.9881944444444,9.03791666666667 50.9879634585512,9.03763888888889 50.9879634585512,9.03751316356902 50.9879166666667,9.03736388823698 50.9876388888889,9.03736111111111 50.9876304815473,9.03728006042727 50.9873611111111,9.03725985516031 50.9870833333333,9.03708333333333 50.9869137393882,9.03690504406756 50.9868055555556))",285,570
"MULTILINESTRING ((9.03662055016181 50.9859722222222,9.03652777777778 50.9859716925791,9.03625 50.9859716925791,9.03624191987523 50.9859722222222,9.03597222222222 50.9860146356113,9.03569444444445 50.9861195882952,9.03541666666667 50.986204611771,9.03519751361029 50.98625,9.03513888888889 50.9862620467726,9.03486111111111 50.986265265861,9.03458333333333 50.9863768091014,9.03430555555556 50.98642751602,9.03402777777778 50.9864586923912,9.03375 50.9864586923912,9.03353678257158 50.9865277777778,9.03347222222222 50.9865535714286,9.03320358130956 50.9865277777778,9.03319444444444 50.986526712885,9.03318552956075 50.9865277777778,9.03291666666667 50.986583474863,9.03263888888889 50.9866580516694,9.03244032407407 50.9868055555556,9.03252154510715 50.9870833333333,9.03263888888889 50.9873129164472,9.03291666666667 50.9873129164472,9.03292887037856 50.9873611111111,9.03299297245879 50.9876388888889,9.03306192098752 50.9879166666667,9.03303838465724 50.9881944444444,9.0329933985237 50.9884722222222,9.03299075812723 50.98875,9.03300169463932 50.9890277777778,9.03294597497858 50.9893055555556,9.03291666666667 50.9894193375326,9.03263888888889 50.9894193375326,9.03258357676396 50.9895833333333,9.03249176106656 50.9898611111111,9.03248219880464 50.9901388888889,9.03263888888889 50.9903435621514,9.03291666666667 50.9903435621514,9.03299311593469 50.9904166666667,9.03319444444444 50.9905669321413,9.03337368477941 50.9906944444444,9.03347222222222 50.9907413323553,9.03375 50.9908142265054,9.03402777777778 50.9908870566172,9.03430555555556 50.9908870566172,9.03458333333333 50.990961213547,9.03460176684104 50.9909722222222,9.03486111111111 50.9911589346287,9.03497356468387 50.99125,9.03513888888889 50.9914063550337,9.03523403576888 50.9915277777778,9.03541666666667 50.9916601793116,9.03569444444445 50.9916601793116,9.03597222222222 50.9917941933333,9.03600671340144 50.9918055555556,9.03625 50.9919472476415,9.03652777777778 50.9920218046798,9.03680555555556 50.9920319439035,9.03708333333333 50.9920319439035,9.03736111111111 50.9920809060699,9.03763888888889 50.9920802769879,9.03791666666667 50.9920165496171,9.03819444444444 50.9920165496171,9.03847222222222 50.9919479569458,9.03875 50.9919273820172,9.03901716921144 50.9918055555556,9.03902777777778 50.991801450847,9.03930555555556 50.9916416293088,9.03958333333333 50.9916416293088,9.03981042968976 50.9915277777778,9.03986111111111 50.9914567103352,9.03994273065376 50.99125,9.03999822143455 50.9909722222222,9.04004481171877 50.9906944444444,9.04010180328993 50.9904166666667,9.04003915627742 50.9901388888889,9.03994592897662 50.9898611111111,9.03986111111111 50.9896662929645,9.03982617358197 50.9895833333333,9.03959825222094 50.9893055555556,9.03958333333333 50.9892627944917,9.03950068403521 50.9890277777778,9.03943202258048 50.98875,9.03934791461219 50.9884722222222,9.03930555555556 50.988363042736,9.03902777777778 50.988363042736,9.03893618419019 50.9881944444444,9.03883540573428 50.9879166666667,9.03902777777778 50.9876696500068,9.03905175079101 50.9876388888889,9.03902777777778 50.987526870966,9.03875 50.987526870966,9.03869903272894 50.9873611111111,9.03856607719544 50.9870833333333,9.03847222222222 50.9869554374951,9.03838080639528 50.9868055555556,9.03821729059399 50.9865277777778,9.03819444444444 50.9865067846118,9.03791666666667 50.9862576276202,9.03763888888889 50.9862576276202,9.0376294038988 50.98625,9.03736111111111 50.9860878955618,9.03708333333333 50.9860353179155,9.03680555555556 50.9859747057103,9.03662055016181 50.9859722222222))",298,560
"MULTILINESTRING ((9.0318066811298 50.9854166666667,9.03180555555556 50.9854162525598,9.03152777777778 50.9853365767018,9.03125 50.9853365767018,9.03097222222222 50.9853399043277,9.03069444444444 50.9853818430833,9.0304902390612 50.9854166666667,9.03041666666667 50.9854323058662,9.03013888888889 50.9855095967405,9.02986111111111 50.9855095967405,9.02968743514175 50.9856944444444,9.02964591338306 50.9859722222222,9.02958333333333 50.9861375536315,9.02954894715307 50.98625,9.02958333333333 50.9864013341965,9.02964009647312 50.9865277777778,9.02986111111111 50.9865861837848,9.03013888888889 50.9865861837848,9.03041666666667 50.9866800752911,9.03069444444444 50.9867723812861,9.03076100591686 50.9868055555556,9.03097222222222 50.9869926168047,9.03108671267352 50.9870833333333,9.03125 50.987187256522,9.03152777777778 50.987187256522,9.03172577408405 50.9873611111111,9.03180555555556 50.9875642910446,9.03183043209292 50.9876388888889,9.03188731837146 50.9879166666667,9.03183358740568 50.9881944444444,9.03186310426141 50.9884722222222,9.03191744486536 50.98875,9.03187690840161 50.9890277777778,9.03180555555556 50.9892229170007,9.03152777777778 50.9892229170007,9.03151259541142 50.9893055555556,9.03149505833297 50.9895833333333,9.03145330304704 50.9898611111111,9.0314458403306 50.9901388888889,9.03152777777778 50.9903066693293,9.03180555555556 50.9903066693293,9.03186271494885 50.9904166666667,9.03205578338476 50.9906944444444,9.03208333333333 50.990720824375,9.03235197824215 50.9909722222222,9.03236111111111 50.9909794161114,9.03263888888889 50.9911287113661,9.03291666666667 50.9912211651398,9.03319444444444 50.9912211651398,9.03328459904765 50.99125,9.03347222222222 50.991306633228,9.03375 50.991380774781,9.03402777777778 50.9914499408167,9.03430555555556 50.9914499408167,9.03443012582146 50.9915277777778,9.03458333333333 50.9915926803546,9.03486111111111 50.9917622331651,9.03491672230608 50.9918055555556,9.03509504475772 50.9920833333333,9.03513888888889 50.9921364652906,9.03539864003054 50.9923611111111,9.03541666666667 50.992372951772,9.03569444444445 50.992372951772,9.03597222222222 50.9924919712753,9.03625 50.9925185525515,9.03652777777778 50.9925174277069,9.03680555555556 50.9925028346442,9.03708333333333 50.9925028346442,9.03736111111111 50.9925233062823,9.03763888888889 50.9925256304597,9.03791666666667 50.9925041811293,9.03819444444444 50.9925041811293,9.03847222222222 50.9924684435493,9.03875 50.9924603275027,9.03902777777778 50.9924180364654,9.03924776411701 50.9923611111111,9.03930555555556 50.9923429135287,9.03958333333333 50.9923429135287,9.03986111111111 50.9923022542597,9.04013888888889 50.9923019664394,9.04041666666667 50.9922846054087,9.04069444444444 50.9922846054087,9.04097222222222 50.9922480618232,9.04109028103711 50.9920833333333,9.04097222222222 50.9919355659398,9.04092704202727 50.9918055555556,9.04086973002302 50.9915277777778,9.04082344388899 50.99125,9.04078779889899 50.9909722222222,9.04077992244507 50.9906944444444,9.04074140048374 50.9904166666667,9.04069444444444 50.9902216997004,9.04041666666667 50.9902216997004,9.04039568258325 50.9901388888889,9.04030701190476 50.9898611111111,9.04022720349218 50.9895833333333,9.04013888888889 50.9894395262488,9.04003998448217 50.9893055555556,9.03995596677774 50.9890277777778,9.03991783817895 50.98875,9.0399266225103 50.9884722222222,9.04006556032962 50.9881944444444,9.04006131723488 50.9879166666667,9.04000926839068 50.9876388888889,9.03992587916199 50.9873611111111,9.03986111111111 50.9872794136924,9.03971825901606 50.9870833333333,9.03964335584688 50.9868055555556,9.03958333333333 50.9866949151745,9.03944840792118 50.9865277777778,9.03930555555556 50.9863422965489,9.03923181210361 50.98625,9.03902777777778 50.9860780426445,9.03875 50.9860780426445,9.03863354014556 50.9859722222222,9.03847222222222 50.9859180325251,9.03819444444444 50.9858382622074,9.03791666666667 50.9857629718385,9.03763888888889 50.9857327589381,9.03736111111111 50.9857245233057,9.03708333333333 50.9857081754568,9.03680555555556 50.9857018180197,9.03652777777778 50.9857194346676,9.03625 50.9857194346676,9.03597222222222 50.9857342233882,9.03569444444445 50.9857520525811,9.03541666666667 50.9857955953302,9.03513888888889 50.9858179481972,9.03486111111111 50.9858179481972,9.03458333333333 50.9858216402392,9.03435672495784 50.9856944444444,9.03430555555556 50.9856648816952,9.03402777777778 50.985643692856,9.03375 50.985643692856,9.03347222222222 50.9855953085855,9.03319444444444 50.9855416851127,9.03291666666667 50.9855292916074,9.03263888888889 50.9855123082544,9.03236111111111 50.9855123082544,9.03208333333333 50.9854812127525,9.0318066811298 50.9854166666667))",311,550
"MULTILINESTRING ((9.03094600392253 50.9848611111111,9.03069444444444 50.9848255772568,9.03041666666667 50.9847261976272,9.03013888888889 50.9846996583963,9.02986111111111 50.9846996583963,9.02958333333333 50.9846907242692,9.02930555555556 50.9846832323764,9.02902777777778 50.9848481612245,9.02900991737884 50.9848611111111,9.02881587566301 50.9851388888889,9.02875 50.9851906194507,9.02847222222222 50.985376082596,9.02846152100688 50.9854166666667,9.02847222222222 50.9854610052556,9.02852076478675 50.9856944444444,9.02855836203039 50.9859722222222,9.02857604658725 50.98625,9.02868478322511 50.9865277777778,9.02875 50.9865898141905,9.02902777777778 50.9865898141905,9.02925015290945 50.9868055555556,9.02930555555556 50.9868565693607,9.02958333333333 50.9869647131523,9.02986111111111 50.9870692480194,9.02987816807602 50.9870833333333,9.03013888888889 50.9873248345222,9.03041666666667 50.9873248345222,9.03045035413832 50.9873611111111,9.03060659364141 50.9876388888889,9.03065647006146 50.9879166666667,9.03069106422645 50.9881944444444,9.03069444444444 50.9882068468758,9.03077503998067 50.9884722222222,9.03084565320649 50.98875,9.0308726360419 50.9890277777778,9.03097222222222 50.9892399272685,9.03099852668042 50.9893055555556,9.03100155631889 50.9895833333333,9.03097222222222 50.9897608582844,9.03094919134229 50.9898611111111,9.0307462581302 50.9901388888889,9.03074303096475 50.9904166666667,9.03092570212678 50.9906944444444,9.03097222222222 50.9907489397391,9.03117262758066 50.9909722222222,9.03125 50.9910348845263,9.03150548217266 50.99125,9.03152777777778 50.9912574349556,9.03180555555556 50.9912574349556,9.03208333333333 50.9913352526623,9.03236111111111 50.9914126876473,9.03263888888889 50.9914622870395,9.03291666666667 50.991515804716,9.03319444444444 50.991515804716,9.03321403479237 50.9915277777778,9.03347222222222 50.9916872750575,9.03375 50.9917411047839,9.03394603637041 50.9918055555556,9.03402777777778 50.9918915653586,9.03430555555556 50.9918915653586,9.03443513579126 50.9920833333333,9.03458333333333 50.9922765512826,9.03464913048763 50.9923611111111,9.03486111111111 50.9925791324543,9.03492055252867 50.9926388888889,9.03513888888889 50.9927305944004,9.03541666666667 50.9928000369276,9.03569444444445 50.9928000369276,9.03597222222222 50.9928375658434,9.03625 50.9928324108052,9.03652777777778 50.9928316791302,9.03680555555556 50.9928125788128,9.03708333333333 50.9928125788128,9.03736111111111 50.9928052196136,9.03763888888889 50.9927914172248,9.03791666666667 50.9927897365014,9.03819444444444 50.9927897365014,9.03846499635129 50.9929166666667,9.03847222222222 50.9929203253038,9.03875 50.9929186572612,9.03902777777778 50.9929247701965,9.03930555555556 50.9929409983216,9.03958333333333 50.9929409983216,9.03986111111111 50.9929398932425,9.04013888888889 50.9929398516387,9.04041666666667 50.9929685780082,9.04069444444444 50.9929723044377,9.04097222222222 50.9929797487275,9.04125 50.9929979772234,9.04152777777778 50.9930279848422,9.04180555555556 50.9930578709135,9.04208333333333 50.9930578709135,9.04236111111111 50.9930383232333,9.04263888888889 50.9929982441917,9.04287102191042 50.9929166666667,9.04291666666667 50.9928184272654,9.04319444444444 50.9926956230159,9.04325753343536 50.9926388888889,9.04330993041676 50.9923611111111,9.04328399588749 50.9920833333333,9.04319444444444 50.9920251638061,9.04291666666667 50.9920251638061,9.04263888888889 50.9919047608698,9.04236111111111 50.9918396946818,9.04220678178516 50.9918055555556,9.04208333333333 50.991757740514,9.04180555555556 50.991757740514,9.04157189675677 50.9915277777778,9.04152777777778 50.9914787095432,9.04137926774819 50.99125,9.04128207035808 50.9909722222222,9.04125 50.9908804316443,9.04119065058628 50.9906944444444,9.0410576042575 50.9904166666667,9.04098240398143 50.9901388888889,9.04097222222222 50.990100071179,9.04090711946344 50.9898611111111,9.04084628794522 50.9895833333333,9.04076323165477 50.9893055555556,9.04072727999324 50.9890277777778,9.04072915794714 50.98875,9.04073787686675 50.9884722222222,9.04087522527155 50.9881944444444,9.0409566666997 50.9879166666667,9.04097222222222 50.9878514019696,9.04102229382306 50.9876388888889,9.04098891282587 50.9873611111111,9.04097222222222 50.9873101408825,9.04088914398994 50.9870833333333,9.04086695458448 50.9868055555556,9.04085125219559 50.9865277777778,9.04076423088065 50.98625,9.04069444444444 50.9860734713402,9.04064250360253 50.9859722222222,9.04041666666667 50.9858875797732,9.04013888888889 50.9858875797732,9.03986111111111 50.985797148095,9.03959798432724 50.9856944444444,9.03958333333333 50.9856862704914,9.03930555555556 50.9855927087625,9.03902777777778 50.985421780396,9.03875 50.985421780396,9.03873676158254 50.9854166666667,9.03847222222222 50.9853250308857,9.03819444444444 50.9852367403324,9.03791666666667 50.9851931999411,9.03763888888889 50.9851425198892,9.03736111111111 50.9851425198892,9.03708333333333 50.985152389585,9.03680555555556 50.9851832093856,9.03652777777778 50.9852101597779,9.03625 50.9852101597779,9.03597222222222 50.985234619784,9.03569444444445 50.9852569758037,9.03541666666667 50.9853018455083,9.03513888888889 50.9853043403468,9.03486111111111 50.9853043403468,9.03458333333333 50.9852717034456,9.03430555555556 50.9852071455638,9.03414149934451 50.9851388888889,9.03402777777778 50.9850962092884,9.03375 50.9850962092884,9.03347222222222 50.9850533729258,9.03319444444444 50.9850400020574,9.03291666666667 50.9850232422215,9.03263888888889 50.9850102814207,9.03236111111111 50.9850102814207,9.03208333333333 50.9849752493285,9.03180555555556 50.9848998865638,9.03152777777778 50.9848826184811,9.03125 50.9848642979967,9.03097222222222 50.9848643255197,9.03094600392253 50.9848611111111))",315,540
"MULTILINESTRING ((9.02951922329267 50.9843055555556,9.02930555555556 50.9842013375305,9.02902777777778 50.984225063868,9.02875 50.9842752181562,9.02847222222222 50.9842752181562,9.02836453782045 50.9843055555556,9.02819444444444 50.984437069834,9.02802455039787 50.9845833333333,9.02791666666667 50.9847135185713,9.02782153781507 50.9848611111111,9.02767453253138 50.9851388888889,9.02763888888889 50.9853823961273,9.02736111111111 50.9853823961273,9.02735529660316 50.9854166666667,9.02736111111111 50.9854522601091,9.02763888888889 50.9854522601091,9.02767495108031 50.9856944444444,9.02774892888822 50.9859722222222,9.02785528766049 50.98625,9.02791666666667 50.9863396842256,9.02804290097748 50.9865277777778,9.02819444444444 50.9866261019537,9.02840239138987 50.9868055555556,9.02847222222222 50.9869001866873,9.02862024164402 50.9870833333333,9.02875 50.9872091245232,9.02902777777778 50.9872091245232,9.02924737043058 50.9873611111111,9.02930555555556 50.9874135354477,9.02947904163694 50.9876388888889,9.02958333333333 50.9877404260687,9.02976713905695 50.9879166666667,9.02983941052698 50.9881944444444,9.02986111111111 50.9882571159979,9.02993387824822 50.9884722222222,9.02996327271439 50.98875,9.02998558023416 50.9890277777778,9.03007449859771 50.9893055555556,9.03005505079451 50.9895833333333,9.0299266118481 50.9898611111111,9.02986111111111 50.9899542093645,9.02966106124739 50.9901388888889,9.02958333333333 50.9902219905009,9.02937945886189 50.9904166666667,9.02932996904701 50.9906944444444,9.0295381747532 50.9909722222222,9.02958333333333 50.9909914229367,9.02986111111111 50.9911494637308,9.02998614378669 50.99125,9.03013888888889 50.9913102332436,9.03041666666667 50.9913857726759,9.03069444444444 50.9913857726759,9.03097222222222 50.9914503389802,9.03122080168245 50.9915277777778,9.03125 50.9915477753532,9.03152777777778 50.9916942723549,9.03180555555556 50.9916942723549,9.03208333333333 50.9917642842294,9.0321914493261 50.9918055555556,9.03236111111111 50.9918591844426,9.03263888888889 50.99196348709,9.03291666666667 50.992045317818,9.03319444444444 50.992045317818,9.03327055600596 50.9920833333333,9.03347222222222 50.9921981486445,9.03369580748549 50.9923611111111,9.03375 50.992399652122,9.03398304085291 50.9926388888889,9.03402777777778 50.9926625359173,9.03430555555556 50.9928014000739,9.03458333333333 50.9928014000739,9.0348255490154 50.9929166666667,9.03486111111111 50.9929450070444,9.03513888888889 50.9931024350087,9.03533820426311 50.9931944444444,9.03541666666667 50.9932247984436,9.03569444444445 50.9932247984436,9.03597222222222 50.9932658912609,9.03625 50.9932759992636,9.03652777777778 50.9932515345557,9.03676142580686 50.9931944444444,9.03680555555556 50.9931833500431,9.03708333333333 50.9931833500431,9.03736111111111 50.9931577322338,9.03763888888889 50.9931111557652,9.03791666666667 50.9931014766861,9.03819444444444 50.9931014766861,9.03847222222222 50.9931485930548,9.03875 50.9931486565593,9.03902777777778 50.9931546718989,9.03930555555556 50.9931762732475,9.03958333333333 50.9931762732475,9.03986111111111 50.9931753056885,9.04013888888889 50.9931704207323,9.04041666666667 50.9931882983369,9.0405084316458 50.9931944444444,9.04069444444444 50.9932179784936,9.04097222222222 50.9932179784936,9.04125 50.9932537235813,9.04152777777778 50.9933259726658,9.04180555555556 50.9934149390139,9.04208333333333 50.9934149390139,9.04236111111111 50.9934243101975,9.04263888888889 50.9934220459625,9.04283586883561 50.9934722222222,9.04291666666667 50.9934926063959,9.04319444444444 50.9935072775262,9.04347222222222 50.9935072775262,9.04355600125621 50.9934722222222,9.04375 50.993345089308,9.04389098276456 50.9931944444444,9.04397145364658 50.9929166666667,9.04392552324103 50.9926388888889,9.04389089906354 50.9923611111111,9.04386524739918 50.9920833333333,9.04375 50.9919794220819,9.04355197208871 50.9918055555556,9.04347222222222 50.9917338138676,9.04319444444444 50.9915450152157,9.04291666666667 50.9915450152157,9.04288759987879 50.9915277777778,9.04263888888889 50.9913905228035,9.04236111111111 50.99125208109,9.04235814768898 50.99125,9.04208333333333 50.9910132891986,9.04204961260582 50.9909722222222,9.04180555555556 50.9907614001284,9.04152777777778 50.9907614001284,9.04148702009539 50.9906944444444,9.04137657640455 50.9904166666667,9.04129108347749 50.9901388888889,9.04125 50.9899904991047,9.04121450466815 50.9898611111111,9.04115713806093 50.9895833333333,9.04114834094046 50.9893055555556,9.04116990965229 50.9890277777778,9.04116990102663 50.98875,9.04122264482329 50.9884722222222,9.04125 50.9884390097014,9.04148202695611 50.9881944444444,9.04152777777778 50.9880827975089,9.04180555555556 50.9880827975089,9.0418666106863 50.9879166666667,9.04193320355902 50.9876388888889,9.04191388186869 50.9873611111111,9.04189252002131 50.9870833333333,9.04189249711342 50.9868055555556,9.04190256178947 50.9865277777778,9.04195000623564 50.98625,9.04180555555556 50.9860190545104,9.04177227661116 50.9859722222222,9.04152777777778 50.9857345237143,9.04125 50.9857345237143,9.04120723760625 50.9856944444444,9.04097222222222 50.9855428410217,9.04074164193619 50.9854166666667,9.04069444444444 50.985389573438,9.04041666666667 50.9852303345718,9.04024424974851 50.9851388888889,9.04013888888889 50.9850898496378,9.03986111111111 50.9850898496378,9.03958333333333 50.9849580123887,9.0393392137294 50.9848611111111,9.03930555555556 50.9848545968748,9.03902777777778 50.9847930284403,9.03875 50.9847930284403,9.03847222222222 50.9847369461899,9.03819444444444 50.9846892413135,9.03791666666667 50.9846714122142,9.03763888888889 50.984667227937,9.03736111111111 50.984667227937,9.03708333333333 50.9846670647009,9.03680555555556 50.9846823596544,9.03652777777778 50.9846986668278,9.03625 50.9846986668278,9.03597222222222 50.9846034785841,9.03587662792614 50.9845833333333,9.03569444444445 50.9845664854389,9.03541666666667 50.9845689074509,9.03513888888889 50.9845670010623,9.03486111111111 50.9845670010623,9.03458333333333 50.9845624122347,9.03430555555556 50.9845395385006,9.03402777777778 50.9844924153767,9.03375 50.9844899488935,9.03347222222222 50.9844899488935,9.03319444444444 50.9844956327464,9.03291666666667 50.9844920986428,9.03263888888889 50.9845018482434,9.03236111111111 50.9845018482434,9.03208333333333 50.9845114667611,9.03180555555556 50.9845117295915,9.03152777777778 50.9845031011351,9.03125 50.984480195012,9.03097222222222 50.984480195012,9.03069444444444 50.984445313604,9.03041666666667 50.9844059456687,9.03013888888889 50.9843635564299,9.02986111111111 50.9843635564299,9.02958333333333 50.9843407549476,9.02951922329267 50.9843055555556))",326,530
