WKT,ID,ELEV
"MULTILINESTRING ((9.99126403705783 51.0,9.99126403705783 50.9998611111111,9.99125 50.9998569059879,9.99097222222222 50.9997782083344,9.99069444444445 50.9997007656982,9.99041666666667 50.9997007656982,9.99013888888889 50.9996142783365,9.99004681897375 50.9995833333333,9.98986111111111 50.9994797384404,9.98958333333333 50.9993175482759,9.98956327337293 50.9993055555556,9.98930555555556 50.9991481552971,9.98902777777778 50.9991481552971,9.98885042932524 50.9990277777778,9.98880249658221 50.99875,9.98875 50.9985385303276,9.98872373749728 50.9984722222222,9.98856406017879 50.9981944444444,9.98847222222222 50.998126359344,9.98819444444444 50.998020113822,9.98791666666667 50.998020113822,9.98763888888889 50.9979594054467,9.98736111111111 50.9979211451268,9.98715734495035 50.9979166666667,9.98708333333333 50.9979157535418,9.98708159267779 50.9979166666667,9.98680555555556 50.9981857301633,9.98652777777778 50.9981857301633,9.98652403741561 50.9981944444444,9.98652777777778 50.9982243623775,9.98680555555556 50.9982243623775,9.98686556326739 50.9984722222222,9.98708333333333 50.9985729291271,9.98736111111111 50.9986038244955,9.98763888888889 50.9986515287368,9.98782408614675 50.99875,9.98789879137084 50.9990277777778,9.98763888888889 50.9991928576715,9.98739706293074 50.9993055555556,9.98736111111111 50.9993227133023,9.98708333333333 50.9994470584096,9.98690154159395 50.9995833333333,9.98680555555556 50.9996185037861,9.98652777777778 50.9996185037861,9.98625 50.9997427072606,9.98597222222222 50.9998356568764,9.98587496972378 50.9998611111111,9.98587496972378 51.0))","72",410.000
"MULTILINESTRING ((10.0 50.9965906244549,9.99986111111111 50.9965906244549,9.9998248831616 50.9965277777778,9.99986111111111 50.9963046066291,10.0 50.9963046066291))","115",370.000
"MULTILINESTRING ((9.99335435450505 50.99625,9.99319444444444 50.9962229600087,9.99291666666667 50.9962229600087,9.99263888888889 50.9961653032617,9.99236111111111 50.9960943496467,9.99208333333333 50.9959993204148,9.99180555555555 50.9959815546661,9.99152777777778 50.9959815546661,9.99125 50.9961690730723,9.99118782781697 50.99625,9.99118691875699 50.9965277777778,9.99125 50.9967023448773,9.99128820137103 50.9968055555556,9.99146232517208 50.9970833333333,9.99152777777778 50.9971513720423,9.99180555555555 50.9971513720423,9.99208333333333 50.9972342261976,9.99236111111111 50.9971731707531,9.99263888888889 50.9970900614738,9.9926571995695 50.9970833333333,9.99291666666667 50.9969557021715,9.99319444444444 50.9969557021715,9.99347222222222 50.9968247621125,9.99351438590594 50.9968055555556,9.99374344269054 50.9965277777778,9.99347222222222 50.9963418970206,9.99335435450505 50.99625))","123",420.000
"MULTILINESTRING ((9.99019341851967 50.9926388888889,9.99013888888889 50.9925791630683,9.99009464999794 50.9926388888889,9.98986111111111 50.992892172524,9.98985042990208 50.9929166666667,9.98981722433177 50.9931944444444,9.98981293969516 50.9934722222222,9.98982130551347 50.99375,9.98986111111111 50.9938948242503,9.98993136371954 50.9940277777778,9.99008793734885 50.9943055555556,9.99013888888889 50.9943801272339,9.9902222162944 50.9943055555556,9.99041666666667 50.9940664031857,9.99069444444445 50.9940664031857,9.99071150566389 50.9940277777778,9.990772222576 50.99375,9.99075080977143 50.9934722222222,9.99072837774147 50.9931944444444,9.99069444444445 50.9929422277535,9.99041666666667 50.9929422277535,9.99041095973714 50.9929166666667,9.99019341851967 50.9926388888889))","200",420.000
"MULTILINESTRING ((9.99120149471637 50.9915277777778,9.99097222222222 50.991473781973,9.99069444444445 50.9914210196427,9.99041666666667 50.9914210196427,9.99013888888889 50.9914281348763,9.98997206287569 50.9915277777778,9.98986111111111 50.9916561270998,9.98977448567586 50.9918055555556,9.98958919701987 50.9920833333333,9.98958333333333 50.9920927746307,9.98939622366132 50.9923611111111,9.98930555555556 50.9925413033692,9.98902777777778 50.9925413033692,9.98897488395835 50.9926388888889,9.98882417829839 50.9929166666667,9.9887945524533 50.9931944444444,9.98882158163875 50.9934722222222,9.98887342409016 50.99375,9.98900801497133 50.9940277777778,9.98902777777778 50.9940866596576,9.98930555555556 50.9940866596576,9.98937508112448 50.9943055555556,9.98947587159527 50.9945833333333,9.98957342527243 50.9948611111111,9.98958333333333 50.9948762594326,9.9897322131772 50.9951388888889,9.98979290727815 50.9954166666667,9.98983952160196 50.9956944444444,9.98986111111111 50.99587244284,9.98987708844692 50.9959722222222,9.98994012634473 50.99625,9.98996584917626 50.9965277777778,9.9899930890774 50.9968055555556,9.9900382851412 50.9970833333333,9.99013888888889 50.9973429900758,9.99014816717629 50.9973611111111,9.99041666666667 50.9975013427096,9.99069444444445 50.9975013427096,9.99097222222222 50.9975831802449,9.99125 50.9976290257906,9.99135025785166 50.9976388888889,9.99152777777778 50.9976615336684,9.99180555555555 50.9976615336684,9.99208333333333 50.997642845644,9.99209993851339 50.9976388888889,9.99236111111111 50.9976017663142,9.99263888888889 50.9975616023916,9.99291666666667 50.9975192495748,9.99319444444444 50.9975192495748,9.99347222222222 50.9974834282718,9.99375 50.997462827893,9.99402777777778 50.9974500903823,9.99430555555556 50.9974359624762,9.99458333333333 50.9974359624762,9.99486111111111 50.9974205310939,9.99513888888889 50.9973991375699,9.99541666666667 50.997362325262,9.99569444444444 50.997362325262,9.99570195896598 50.9973611111111,9.99589582092988 50.9970833333333,9.99591239061051 50.9968055555556,9.99589152312338 50.9965277777778,9.99579739982233 50.99625,9.99569444444444 50.9961856865696,9.99541666666667 50.9961856865696,9.99513888888889 50.996071526404,9.99486111111111 50.9960143851526,9.99458333333333 50.9959786314511,9.99430555555556 50.9959786314511,9.99422928431576 50.9959722222222,9.99402777777778 50.9959483783244,9.99375 50.9959298976077,9.99347222222222 50.9958794145461,9.99319444444444 50.995750962176,9.99291666666667 50.995750962176,9.99282600014824 50.9956944444444,9.99263888888889 50.9955816250374,9.99241897093082 50.9954166666667,9.99236111111111 50.9953704780454,9.99211936527677 50.9951388888889,9.99208333333333 50.995104359455,9.99180555555555 50.9948616628916,9.99152777777778 50.9948616628916,9.99152695832644 50.9948611111111,9.99152777777778 50.9948376434779,9.99180555555555 50.9948376434779,9.99181036247084 50.9945833333333,9.99188261773096 50.9943055555556,9.99193178656387 50.9940277777778,9.99191465660387 50.99375,9.99187683412855 50.9934722222222,9.99186072246843 50.9931944444444,9.99186983273228 50.9929166666667,9.99193401251625 50.9926388888889,9.99193451271407 50.9923611111111,9.9918764531168 50.9920833333333,9.99180555555555 50.9918747772503,9.99152777777778 50.9918747772503,9.99148386487782 50.9918055555556,9.99125 50.9915626863709,9.99120149471637 50.9915277777778))","212",410.000
"MULTILINESTRING ((10.0 50.9918745690677,9.99986111111111 50.9918745690677,9.99962235812362 50.9918055555556,9.99958333333333 50.9917884849547,9.99930555555556 50.9917884849547,9.99902777777778 50.9915945409622,9.99897155687855 50.9915277777778,9.99884566111381 50.99125,9.99885480535555 50.9909722222222,9.99894861455935 50.9906944444444,9.99902777777778 50.9906103112462,9.99923208386918 50.9904166666667,9.99930555555556 50.9903972976177,9.99958333333333 50.9903972976177,9.99986111111111 50.9903318037722,10.0 50.9903318037722))","226",350.000
"MULTILINESTRING ((10.0 50.9927985663166,9.99986111111111 50.9927985663166,9.99958333333333 50.9928672716026,9.99930555555556 50.9928672716026,9.9991202783506 50.9929166666667,9.99902777777778 50.9929665354741,9.99875 50.9930868658073,9.99847222222222 50.9931274224203,9.99819444444444 50.9930556361971,9.99791666666667 50.9930556361971,9.99766224495822 50.9929166666667,9.99763888888889 50.9929018939351,9.99737424242424 50.9926388888889,9.99736111111111 50.9925994061342,9.99728848167494 50.9923611111111,9.99718457527047 50.9920833333333,9.99708333333333 50.9919119625501,9.99680555555556 50.9919119625501,9.9967485947602 50.9918055555556,9.99673874575427 50.9915277777778,9.99680555555556 50.9914867460246,9.99708333333333 50.9914867460246,9.99736111111111 50.9913073396695,9.9974246894443 50.99125,9.99763888888889 50.9909795080206,9.99764302447515 50.9909722222222,9.99777646064386 50.9906944444444,9.99790413088693 50.9904166666667,9.99791666666667 50.9904051246866,9.99819444444444 50.9904051246866,9.99847222222222 50.9901904322521,9.99860952948009 50.9901388888889,9.99875 50.9900536527094,9.99902777777778 50.9899890536649,9.99930555555556 50.9899292397965,9.99958333333333 50.9899292397965,9.99986111111111 50.989872427061,10.0 50.989872427061))","232",360.000
"MULTILINESTRING ((10.0 50.9949053105692,9.99986111111111 50.9949053105692,9.99983054332844 50.9948611111111,9.9997485552493 50.9945833333333,9.99965395903244 50.9943055555556,9.99958333333333 50.9941442585468,9.99930555555556 50.9941442585468,9.99924477688011 50.9940277777778,9.99902777777778 50.9939139233795,9.99875 50.9938367156287,9.99847222222222 50.9938108937073,9.99819444444444 50.9938216562859,9.99791666666667 50.9938216562859,9.99763888888889 50.9938426204264,9.99736111111111 50.9938580395903,9.99708333333333 50.9938668140557,9.99680555555556 50.9938668140557,9.99652777777778 50.9938464187827,9.99625 50.9937847652617,9.9961212501079 50.99375,9.99597222222222 50.9935854716959,9.99587670699897 50.9934722222222,9.99574942664398 50.9931944444444,9.99574356222008 50.9929166666667,9.9958127920834 50.9926388888889,9.99579975795442 50.9923611111111,9.99571609461328 50.9920833333333,9.99569444444444 50.9920352049471,9.99541666666667 50.9920352049471,9.99532907794737 50.9918055555556,9.99531807638405 50.9915277777778,9.99541666666667 50.9914670542188,9.99569444444444 50.9914670542188,9.99597222222222 50.9913035075335,9.99605666646422 50.99125,9.99625 50.9911145602596,9.99643993304308 50.9909722222222,9.99652777777778 50.9908912863432,9.99671817717062 50.9906944444444,9.99680555555556 50.9905679379883,9.99708333333333 50.9905679379883,9.9971749378506 50.9904166666667,9.99736111111111 50.9902311015129,9.99745769559546 50.9901388888889,9.99761092192358 50.9898611111111,9.99763888888889 50.9898144048439,9.99779371169396 50.9895833333333,9.99791666666667 50.9894361465614,9.99819444444444 50.9894361465614,9.99834582515092 50.9893055555556,9.99847222222222 50.9892569796174,9.99875 50.9892157460941,9.99902777777778 50.9892095705336,9.99930555555556 50.989206690849,9.99958333333333 50.989206690849,9.99986111111111 50.9892077147819,10.0 50.9892077147819))","244",370.000
"MULTILINESTRING ((10.0 50.9814622459867,9.99986111111111 50.9814622459867,9.99958333333333 50.9815131746685,9.99930555555556 50.9815131746685,9.99918910202479 50.9815277777778,9.99902777777778 50.9815481356733,9.99875 50.981567848439,9.99847222222222 50.9816104555899,9.99819444444444 50.9817060115299,9.99791666666667 50.9817060115299,9.99763888888889 50.981799644336,9.99761806004785 50.9818055555556,9.99736111111111 50.9818704800741,9.99708333333333 50.9819287692324,9.99680555555556 50.9819287692324,9.99652777777778 50.9820052635484,9.99633474627585 50.9820833333333,9.99625 50.9821022809577,9.99597222222222 50.9821744755581,9.99569444444444 50.9822605129399,9.99541666666667 50.9822605129399,9.99517127093549 50.9823611111111,9.99513888888889 50.9823753360491,9.99486111111111 50.9824278058037,9.99458333333333 50.9824771685481,9.99430555555556 50.9824771685481,9.99402777777778 50.9825321740312,9.99375 50.9825994526371,9.99359548116936 50.9826388888889,9.99347222222222 50.9826772210915,9.99319444444444 50.9827408126154,9.99291666666667 50.9827408126154,9.99263888888889 50.9827974279827,9.99236111111111 50.9828523540832,9.99208333333333 50.9829004824722,9.99180555555555 50.9829058700477,9.99152777777778 50.9829058700477,9.99125 50.9828598562566,9.99097222222222 50.9828116774227,9.99069444444445 50.9827725593452,9.99041666666667 50.9827725593452,9.99013888888889 50.9827235705035,9.98986601750084 50.9826388888889,9.98986111111111 50.9826375628472,9.98958333333333 50.982550082702,9.98930555555556 50.9824757475467,9.98902777777778 50.9824757475467,9.98875 50.982411517661,9.98847222222222 50.9823773081322,9.98819444444444 50.9824840902437,9.98791666666667 50.9824840902437,9.98764962554792 50.9826388888889,9.98763888888889 50.982648064057,9.98740232635197 50.9829166666667,9.98736111111111 50.9829848167855,9.98726474173938 50.9831944444444,9.98708333333333 50.9834076700255,9.98699328788804 50.9834722222222,9.98680555555556 50.9837436045166,9.98652777777778 50.9837436045166,9.98651911993184 50.98375,9.98625 50.9839129448571,9.98610485442293 50.9840277777778,9.98597222222222 50.984190102333,9.98589443954251 50.9843055555556,9.98575773183559 50.9845833333333,9.98573998731254 50.9848611111111,9.98573667066311 50.9851388888889,9.9857467976151 50.9854166666667,9.98569444444444 50.9856252726041,9.98541666666667 50.9856252726041,9.98539089191114 50.9856944444444,9.98525112760678 50.9859722222222,9.98513888888889 50.9861746958887,9.98503879745474 50.98625,9.98486111111111 50.9863939413744,9.98458333333333 50.9864379874534,9.98430555555556 50.9864578888889,9.98402777777778 50.9864578888889,9.98375 50.986341421817,9.98360337882363 50.9865277777778,9.98347222222222 50.9865478385127,9.98339375194745 50.9865277777778,9.98347222222222 50.9864562278581,9.98370559558023 50.98625,9.98373580845312 50.9859722222222,9.98375 50.9859477766408,9.98390297126415 50.9856944444444,9.98375 50.9854411711516,9.98347222222222 50.9854273515105,9.98346920652726 50.9854166666667,9.98347222222222 50.98541241159,9.9836391358195 50.9851388888889,9.98375 50.9849507474183,9.98383732007828 50.9848611111111,9.98390595525628 50.9845833333333,9.98402777777778 50.9844446302522,9.98430555555556 50.9844446302522,9.98454658437233 50.9843055555556,9.98458333333333 50.9842029129229,9.98466940500154 50.9840277777778,9.98474929125974 50.98375,9.9847620112183 50.9834722222222,9.98480062118392 50.9831944444444,9.98482222832317 50.9829166666667,9.98484768497222 50.9826388888889,9.98486111111111 50.9825788784452,9.98492340092093 50.9823611111111,9.98506855393513 50.9820833333333,9.98513888888889 50.9820331916674,9.98541666666667 50.9819029164971,9.98569444444444 50.9819029164971,9.98591519916842 50.9818055555556,9.98597222222222 50.9817539069974,9.98616017400256 50.9815277777778,9.98625 50.9813934267187,9.98633689996739 50.98125,9.98647259006123 50.9809722222222,9.98652777777778 50.9809234290942,9.98680555555556 50.9809234290942,9.98708333333333 50.980797994228,9.98736111111111 50.9807833692454,9.98763888888889 50.9807774238138,9.98791666666667 50.9808067260409,9.98819444444444 50.9808067260409,9.98847222222222 50.980789230483,9.98875 50.9807378790161,9.98893066325509 50.9806944444444,9.98902777777778 50.9806661967686,9.98930555555556 50.9806661967686,9.98958333333333 50.9806120880687,9.98986111111111 50.9805801625316,9.99013888888889 50.9805765697789,9.99041666666667 50.98060556806,9.99069444444445 50.98060556806,9.99097222222222 50.9806498815033,9.99118172931382 50.9806944444444,9.99125 50.9807068659851,9.99152777777778 50.9807534461478,9.99180555555555 50.9807534461478,9.99208333333333 50.9807212572717,9.99219360993165 50.9806944444444,9.99236111111111 50.9806455019528,9.99263888888889 50.9805679718549,9.99291666666667 50.9804864939381,9.99319444444444 50.9804864939381,9.99343858494525 50.9804166666667,9.99347222222222 50.9804063670631,9.99375 50.9803405366926,9.99402777777778 50.9802859153962,9.99430555555556 50.9802241833802,9.99458333333333 50.9802241833802,9.99486111111111 50.9801530827308,9.99490696488378 50.9801388888889,9.99513888888889 50.9800602341832,9.99541666666667 50.9799414010919,9.99569444444444 50.9799414010919,9.99586661629558 50.9798611111111,9.99597222222222 50.9798313308738,9.99625 50.9797462136428,9.99652777777778 50.9796592433042,9.99678661379965 50.9795833333333,9.99680555555556 50.9795714776201,9.99708333333333 50.9795714776201,9.99736111111111 50.9794175304845,9.9975879738151 50.9793055555556,9.99763888888889 50.979274988686,9.99791666666667 50.9791042928879,9.99819444444444 50.9791042928879,9.99830891906704 50.9790277777778,9.99847222222222 50.9788357388877,9.99852672975173 50.97875,9.99867246997836 50.9784722222222,9.99865735636672 50.9781944444444,9.99847222222222 50.9779687572915,9.99841882181846 50.9779166666667,9.99819444444444 50.9777630494022,9.99791666666667 50.9777630494022,9.99774504610955 50.9776388888889,9.99763888888889 50.9775577118807,9.99741096351548 50.9773611111111,9.9975023288627 50.9770833333333,9.99763888888889 50.976870028675,9.99767626058909 50.9768055555556,9.9978718529161 50.9765277777778,9.99791666666667 50.9764799965432,9.99819444444444 50.9764799965432,9.99839527474784 50.97625,9.99847222222222 50.9762111788279,9.99875 50.976102881049,9.99902777777778 50.9760219162176,9.99917662095426 50.9759722222222,9.99930555555556 50.9758821624637,9.99958333333333 50.9758821624637,9.99982319605636 50.9756944444444,9.99986111111111 50.9756625179992,10.0 50.9756625179992))","468",280.000
"MULTILINESTRING ((10.0 50.9823318204106,9.99986111111111 50.9823318204106,9.99958333333333 50.9822483836265,9.99930555555556 50.9822483836265,9.99902777777778 50.9821920736336,9.99875 50.9821492567946,9.99847222222222 50.9821361529042,9.99819444444444 50.9821567641165,9.99791666666667 50.9821567641165,9.99763888888889 50.9821783313267,9.99736111111111 50.9821916967914,9.99708333333333 50.9822033248815,9.99680555555556 50.9822033248815,9.99652777777778 50.982240727879,9.99625 50.9823240856715,9.99614142603298 50.9823611111111,9.99597222222222 50.9824472390247,9.99569444444444 50.9825737365401,9.99541666666667 50.9825737365401,9.99525515419497 50.9826388888889,9.99513888888889 50.9826869908929,9.99486111111111 50.9827789491523,9.99458333333333 50.9828718637597,9.99430555555556 50.9828718637597,9.99418858316669 50.9829166666667,9.99402777777778 50.9829857970013,9.99375 50.9831315139523,9.99362519410206 50.9831944444444,9.99347222222222 50.9832310792383,9.99319444444444 50.9832712132391,9.99291666666667 50.9832712132391,9.99263888888889 50.9833027177928,9.99236111111111 50.9833301403075,9.99208333333333 50.9833544175542,9.99180555555555 50.9833646226609,9.99152777777778 50.9833646226609,9.99125 50.9833594634179,9.99097222222222 50.9833516661465,9.99069444444445 50.9833424577181,9.99041666666667 50.9833424577181,9.99013888888889 50.9833259359151,9.98986111111111 50.9832819960162,9.98958333333333 50.9832209639995,9.9894640547638 50.9831944444444,9.98930555555556 50.9831228022341,9.98902777777778 50.9831228022341,9.98875 50.9830030314006,9.98847222222222 50.9829863644128,9.98819654541228 50.9831944444444,9.98819444444444 50.9831954817198,9.98791666666667 50.9831954817198,9.98763888888889 50.9834081476983,9.98756878939368 50.9834722222222,9.98742751859905 50.98375,9.98736111111111 50.9838858919337,9.98729526937679 50.9840277777778,9.98716093743502 50.9843055555556,9.98708333333333 50.9843878507249,9.98686601197042 50.9845833333333,9.98680555555556 50.9848219940111,9.98652777777778 50.9848219940111,9.98651436683098 50.9848611111111,9.98652777777778 50.9850515639314,9.98680555555556 50.9850515639314,9.98680988175172 50.9851388888889,9.98686925388516 50.9854166666667,9.98691433717503 50.9856944444444,9.98687010576065 50.9859722222222,9.98680555555556 50.9862030124366,9.98652777777778 50.9862030124366,9.9865049052627 50.98625,9.98635728019418 50.9865277777778,9.98625 50.9866099018513,9.98598680997113 50.9868055555556,9.98597222222222 50.9868273556483,9.98579142961227 50.9870833333333,9.98569444444444 50.9872002869721,9.98541666666667 50.9872002869721,9.98526064168605 50.9873611111111,9.98513888888889 50.9874639401523,9.98490928830769 50.9876388888889,9.98486111111111 50.9876781790239,9.98458333333333 50.9878476622081,9.9844847724686 50.9879166666667,9.98430555555556 50.9879824815584,9.98402777777778 50.9879824815584,9.98375 50.9880907563064,9.98347222222222 50.988158052757,9.98319444444444 50.9881143376354,9.98291666666667 50.9881143376354,9.98263888888889 50.9880209577231,9.98236111111111 50.9879218910468,9.98234715992683 50.9879166666667,9.98208333333333 50.9877533111787,9.98189853113212 50.9876388888889,9.98180555555555 50.9875850426553,9.98152777777778 50.9875850426553,9.98125 50.9874299018425,9.98109494015234 50.9873611111111,9.98097222222222 50.9873004606876,9.98069444444444 50.9871833869382,9.98041666666667 50.987090112806,9.98013888888889 50.987090112806,9.98011515509644 50.9870833333333,9.97986111111111 50.9869882951161,9.97958333333333 50.9868814614695,9.97937622014538 50.9868055555556,9.97930555555556 50.9867102193923,9.97902777777778 50.9867102193923,9.97892577612507 50.9865277777778,9.97902777777778 50.9864878019674,9.97930555555556 50.9864878019674,9.97958333333333 50.9863075812024,9.97972310668878 50.98625,9.97986111111111 50.9862145282751,9.98013888888889 50.9861584195116,9.98041666666667 50.9861584195116,9.98069444444444 50.9861067766592,9.98097222222222 50.9860359183906,9.9811462034893 50.9859722222222,9.98125 50.9859368146144,9.98152777777778 50.9858422158833,9.98180555555555 50.9858422158833,9.98204144745774 50.9856944444444,9.98208333333333 50.9856797684899,9.98236111111111 50.9855575587665,9.98259848242191 50.9854166666667,9.98263888888889 50.9853747256687,9.98282808956487 50.9851388888889,9.98291666666667 50.9850117942421,9.98319444444444 50.9850117942421,9.98329311670559 50.9848611111111,9.98340891738459 50.9845833333333,9.98341985540942 50.9843055555556,9.98340993978696 50.9840277777778,9.98338495576364 50.98375,9.9833451631572 50.9834722222222,9.98326297806715 50.9831944444444,9.98323636786181 50.9829166666667,9.98321938207649 50.9826388888889,9.98325826114678 50.9823611111111,9.98338339548582 50.9820833333333,9.98347222222222 50.9820192840145,9.98375 50.9818423353523,9.9838083674504 50.9818055555556,9.98396161766794 50.9815277777778,9.98402777777778 50.9812704500689,9.98430555555556 50.9812704500689,9.98431116421355 50.98125,9.98433819736012 50.9809722222222,9.98458333333333 50.9807155799183,9.98461993912856 50.9806944444444,9.98486111111111 50.9806587133259,9.98513888888889 50.9806135656367,9.98541666666667 50.9805496372369,9.98569444444444 50.9805496372369,9.98597222222222 50.9804660905592,9.98610097925545 50.9804166666667,9.98625 50.9803499636448,9.98652777777778 50.9802063071103,9.98680555555556 50.9802063071103,9.98695771166909 50.9801388888889,9.98708333333333 50.9800747555597,9.98736111111111 50.9799556295854,9.98754866236519 50.9798611111111,9.98763888888889 50.9798398043708,9.98791666666667 50.9797699549078,9.98819444444444 50.9797699549078,9.98847222222222 50.9797238229925,9.98875 50.9797585946831,9.98902777777778 50.9798248723212,9.98930555555556 50.9798248723212,9.98947554491184 50.9798611111111,9.98958333333333 50.9799078938066,9.98986111111111 50.9800099489614,9.99013888888889 50.9800643081549,9.99041666666667 50.9800850641675,9.99069444444445 50.9800850641675,9.99097222222222 50.9801029859532,9.99125 50.9801347979873,9.99128531712723 50.9801388888889,9.99152777777778 50.980169129838,9.99180555555555 50.980169129838,9.99208333333333 50.9801491907324,9.99211727649891 50.9801388888889,9.99236111111111 50.9800654798333,9.99263888888889 50.9799729380262,9.99291666666667 50.9798731456282,9.99319444444444 50.9798731456282,9.99322931093718 50.9798611111111,9.99347222222222 50.9798208610681,9.99375 50.9797819578276,9.99402777777778 50.9797440026933,9.99430555555556 50.9796928303376,9.99458333333333 50.9796928303376,9.99486111111111 50.9796230734489,9.99500361073759 50.9795833333333,9.99513888888889 50.9794861513613,9.9954015616143 50.9793055555556,9.99541666666667 50.9792906676522,9.99569444444444 50.9792906676522,9.99597222222222 50.9790418708792,9.99598824737839 50.9790277777778,9.99612080564276 50.97875,9.99604899032658 50.9784722222222,9.99597222222222 50.9782977112024,9.99592522440545 50.9781944444444,9.99579235404805 50.9779166666667,9.99569624881292 50.9776388888889,9.9957012083834 50.9773611111111,9.99580172641447 50.9770833333333,9.99594937961452 50.9768055555556,9.99597222222222 50.9767717474475,9.99613810668343 50.9765277777778,9.99625 50.976426397175,9.99648137324359 50.97625,9.99652777777778 50.9762386459978,9.99680555555556 50.9761669475601,9.99708333333333 50.9761669475601,9.99736111111111 50.9760721741271,9.99759009525194 50.9759722222222,9.99763888888889 50.9759159060834,9.99780362364745 50.9756944444444,9.99791666666667 50.9754688823347,9.99819444444444 50.9754688823347,9.99822265566616 50.9754166666667,9.99834136131074 50.9751388888889,9.99847222222222 50.9750379667035,9.99875 50.9749195869519,9.99897367763593 50.9748611111111,9.99902777777778 50.9748401034464,9.99930555555556 50.9746978628931,9.99958333333333 50.9746978628931,9.99974874489528 50.9745833333333,9.99986111111111 50.9745008548066,10.0 50.9745008548066))","481",290.000
